"Suburb","Cat 1","Cat 2C","Cat 2P","Cat 3","Total Final Category","lat","lng"
"Ahuroa",1,0,0,0,1,-36.4761468,174.5549206
"Albany",3,0,0,2,5,-36.7279344,174.7086478
"Albany Heights",5,0,0,2,7,-36.7168189,174.6927881
"Araparera",0,0,0,1,1,-36.5094633,174.4564524
"Arkles Bay",3,0,0,0,3,-36.6396081,174.745749
"Army Bay",1,0,0,3,4,-36.6038369,174.802399
"Auckland Central",9,0,0,0,9,-36.848911,174.7652256
"Avondale",18,0,0,3,21,-36.8967316,174.6970369
"Balmoral",6,0,2,7,15,-36.8892046,174.7486941
"Bayswater",4,0,0,0,4,-36.8147651,174.776209
"Bayview",14,0,0,1,15,-36.7745922,174.707459
"Beach Haven",30,0,4,6,40,-36.7922306,174.6849502
"Birkdale",14,0,1,1,16,-36.7994587,174.7034335
"Birkenhead",27,0,5,7,39,-36.8098735,174.7250547
"Blockhouse Bay",33,0,1,28,62,-36.9197769,174.70147
"Bombay",1,0,0,0,1,-37.1855384,174.9920563
"Botany Downs",2,0,0,0,2,-36.9102173,174.9194739
"Browns Bay",31,0,0,20,51,-36.7156283,174.7481983
"Bucklands Beach",1,0,0,0,1,-36.8662371,174.904601
"Campbells Bay",2,0,0,1,3,-36.7454921,174.7619515
"Castor Bay",11,0,0,4,15,-36.7587345,174.7671369
"Chatswood",5,0,3,3,11,-36.8178641,174.710109
"Clarks Beach",4,0,0,0,4,-37.1368737,174.7044928
"Clendon Park",1,0,0,0,1,-37.0318096,174.8608675
"Clevedon",4,0,0,0,4,-36.9910022,175.0368658
"Clover Park",1,0,0,0,1,-36.9782427,174.8903639
"Coatesville",2,0,1,3,6,-36.7170336,174.6393415
"Cornwallis",1,0,0,1,2,-37.01202,174.60522
"Dairy Flat",4,0,0,7,11,-36.6665605,174.6436474
"Devonport",6,0,0,0,6,-36.8297309,174.7975377
"Drury",1,0,0,0,1,-37.1020668,174.951828
"East Tamaki",17,0,0,0,17,-36.9474802,174.8931962
"Eden Terrace",2,0,0,0,2,-36.8651118,174.7605922
